assetId,downloadAttribute,filetype,size,downloadLink,rawLink
BricksSubstance005,LQ,sbsar,412381,https://ambientcg.com/get?file=BricksSubstance005_LQ.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/BricksSubstance005_1w3dmzci/BricksSubstance005_LQ.sbsar
Bricks071,1K-JPG,zip,3854698,https://ambientcg.com/get?file=Bricks071_1K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_1K-JPG.zip
Bricks071,1K-PNG,zip,16202631,https://ambientcg.com/get?file=Bricks071_1K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_1K-PNG.zip
Bricks071,2K-JPG,zip,15726206,https://ambientcg.com/get?file=Bricks071_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_2K-JPG.zip
Bricks071,2K-PNG,zip,65615597,https://ambientcg.com/get?file=Bricks071_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_2K-PNG.zip
Bricks071,4K-JPG,zip,64807707,https://ambientcg.com/get?file=Bricks071_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_4K-JPG.zip
Bricks071,4K-PNG,zip,265487891,https://ambientcg.com/get?file=Bricks071_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_4K-PNG.zip
Bricks071,8K-JPG,zip,296195281,https://ambientcg.com/get?file=Bricks071_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_8K-JPG.zip
Bricks071,8K-PNG,zip,1074649653,https://ambientcg.com/get?file=Bricks071_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks071_yh4mul9i/Bricks071_8K-PNG.zip
Bricks070,1K-JPG,zip,3950643,https://ambientcg.com/get?file=Bricks070_1K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_1K-JPG.zip
Bricks070,1K-PNG,zip,16292188,https://ambientcg.com/get?file=Bricks070_1K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_1K-PNG.zip
Bricks070,2K-JPG,zip,16105036,https://ambientcg.com/get?file=Bricks070_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_2K-JPG.zip
Bricks070,2K-PNG,zip,65978408,https://ambientcg.com/get?file=Bricks070_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_2K-PNG.zip
Bricks070,4K-JPG,zip,66458752,https://ambientcg.com/get?file=Bricks070_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_4K-JPG.zip
Bricks070,4K-PNG,zip,266941814,https://ambientcg.com/get?file=Bricks070_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_4K-PNG.zip
Bricks070,8K-JPG,zip,301394316,https://ambientcg.com/get?file=Bricks070_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_8K-JPG.zip
